Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Nintendogs,DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,NA,NA,NA,NA,NA,NA
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91,64,8.6,464,Nintendo,E
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77,58,7.9,50,Nintendo,E
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77,37,7.1,19,Nintendo,E
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86,57,8.7,242,Nintendo,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88,65,7.6,451,Rockstar Leeds,M
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74,45,7.4,27,Nintendo,E
Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88,29,8,121,EA Sports,E
God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94,75,8.9,997,SCE Santa Monica,M
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,82,36,9.1,137,EA Canada,T
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,87,64,9,766,Square Enix,E10+
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80,32,7.8,47,EA Canada,E
World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06,NA,NA,8.2,23,Konami,E
Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,2.08,1.35,0,0.54,3.98,61,21,NA,NA,Digital Eclipse,E10+
Tekken 5,PS2,2005,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87,88,62,8.6,229,Namco,T
Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,1.65,1.21,0,0.79,3.65,74,34,8.4,31,Rockstar Leeds,E10+
Resident Evil 4,PS2,2005,Action,Capcom,2.08,0.83,0.46,0.25,3.62,96,38,8.9,1013,Capcom,M
Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,2.18,1.02,0.03,0.37,3.59,84,30,9,268,Pandemic Studios,T
LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive,1.98,1.14,0.01,0.41,3.53,NA,NA,NA,NA,NA,NA
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,1.47,1.39,0.03,0.43,3.32,60,34,7.2,82,Double Helix Games,T
Sonic Rush,DS,2005,Platform,Sega,1.21,1.56,0.06,0.29,3.12,82,43,8.5,101,"Dimps Corporation, Sonic Team",E
WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ,1.45,1.11,0.04,0.33,2.94,NA,NA,NA,NA,NA,NA
Call Of Duty 2: Big Red One,PS2,2005,Shooter,Activision,1.48,0.92,0.01,0.26,2.67,77,39,8.2,69,Treyarch,T
Guitar Hero,PS2,2005,Misc,RedOctane,1.67,0.61,0.03,0.07,2.38,91,65,8.7,173,Harmonix Music Systems,T
Devil May Cry 3: Dante's Awakening,PS2,2005,Action,Capcom,0.99,0.63,0.29,0.19,2.09,84,60,9,212,Capcom,M
Need for Speed: Most Wanted 5-1-0,PSP,2005,Racing,Electronic Arts,1.77,0.12,0.02,0.17,2.07,72,21,7.8,54,EA Canada,E10+
Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005,Role-Playing,Nintendo,0.71,0.52,0.74,0.08,2.06,NA,NA,NA,NA,NA,NA
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,Ubisoft,0.71,1.02,0,0.31,2.04,82,41,8.2,68,Ubisoft Montpellier,T
Call of Duty 2,X360,2005,Shooter,Activision,1.82,0.04,0.01,0.16,2.03,89,65,8.1,307,Infinity Ward,T
Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,Nintendo,1.15,0.04,0.83,0,2.02,62,34,8.1,97,ChunSoft,E
Grand Theft Auto: San Andreas,XB,2005,Action,Take-Two Interactive,1.26,0.61,0,0.09,1.95,93,58,8.6,118,Rockstar North,AO
Medal of Honor: European Assault (All Region sales),PS2,2005,Shooter,Electronic Arts,0.89,0.69,0.09,0.21,1.88,NA,NA,NA,NA,NA,NA
Madden NFL 06,XB,2005,Sports,Electronic Arts,1.75,0.03,0,0.08,1.86,86,39,6.7,41,EA Sports,E
NCAA Football 06,PS2,2005,Sports,Electronic Arts,1.53,0.05,0,0.25,1.84,87,25,8.5,36,EA Sports,E
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,THQ,1.31,0.49,0,0.03,1.83,NA,NA,NA,NA,NA,NA
50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,47,21,6.6,129,Genuine Games,M
SOCOM 3: U.S. Navy SEALs,PS2,2005,Shooter,Sony Computer Entertainment,1.22,0.34,0.04,0.1,1.69,82,59,8.8,64,Zipper Interactive,M
Resident Evil 4,GC,2005,Action,Capcom,0.98,0.42,0.22,0.06,1.69,96,82,9.4,767,Capcom,M
Star Wars: Battlefront II,XB,2005,Shooter,Activision,1.22,0.39,0,0.06,1.67,83,40,8.9,106,Pandemic Studios,T
Dragon Ball Z: Budokai Tenkaichi,PS2,2005,Fighting,Atari,0.96,0.12,0.54,0.04,1.66,72,29,8.4,71,Spike,T
