Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,NA,NA,NA,NA,NA,NA
Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,NA,NA,NA,NA,NA,NA
Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34,NA,NA,NA,NA,NA,NA
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,3.38,0.44,0.31,0.04,4.17,NA,NA,NA,NA,NA,NA
Golf,GB,1989,Sports,Nintendo,0.83,0.33,0.92,0.04,2.12,NA,NA,NA,NA,NA,NA
Tennis,GB,1989,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99,NA,NA,NA,NA,NA,NA
Alleyway,GB,1989,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94,NA,NA,NA,NA,NA,NA
Disney's DuckTales,NES,1989,Platform,Capcom,0.91,0.3,0.42,0.04,1.67,NA,NA,NA,NA,NA,NA
Baseball,GB,1989,Sports,Nintendo,0.66,0.27,0.65,0.03,1.61,NA,NA,NA,NA,NA,NA
Yakuman,GB,1989,Misc,Nintendo,0,0,1.28,0,1.28,NA,NA,NA,NA,NA,NA
SolarStriker,GB,1989,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2,NA,NA,NA,NA,NA,NA
The Final Fantasy Legend,GB,1989,Role-Playing,SquareSoft,0,0,1.1,0,1.1,NA,NA,NA,NA,NA,NA
Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,Namco Bandai Games,0,0,1.1,0,1.1,NA,NA,NA,NA,NA,NA
Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85,NA,NA,NA,NA,NA,NA
Double Dragon,2600,1989,Action,Activision,0.45,0.02,0,0.01,0.47,NA,NA,NA,NA,NA,NA
Klax,2600,1989,Puzzle,Atari,0.14,0.01,0,0,0.15,NA,NA,NA,NA,NA,NA
Adventures of Lolo,NES,1989,Puzzle,HAL Laboratory,0.06,0,0,0,0.06,NA,NA,NA,NA,NA,NA
