Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,NA,NA,NA,NA,NA,NA
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,NA,NA,NA,NA,NA,NA
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,NA,NA,NA,NA,NA,NA
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,NA,NA,NA,NA,NA,NA
Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,NA,NA,NA,NA,NA,NA
Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1,NA,NA,NA,NA,NA,NA
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2.21,0.96,0.54,0.13,3.83,NA,NA,NA,NA,NA,NA
Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,Enix Corporation,0,0,2.78,0.01,2.79,NA,NA,NA,NA,NA,NA
Mario Paint,SNES,1992,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75,NA,NA,NA,NA,NA,NA
Mortal Kombat,GEN,1992,Fighting,Arena Entertainment,1.95,0.63,0,0.09,2.67,NA,NA,NA,NA,NA,NA
Final Fantasy V,SNES,1992,Role-Playing,SquareSoft,0,0,2.43,0.02,2.45,NA,NA,NA,NA,NA,NA
Kirby's Pinball Land,GB,1992,Misc,Nintendo,0.87,0.17,1.1,0.05,2.19,NA,NA,NA,NA,NA,NA
SimCity 2000,PC,1992,Simulation,Maxis,1.2,0.84,0,0.1,2.14,NA,NA,NA,NA,NA,NA
NBA Jam,GEN,1992,Sports,Arena Entertainment,1.75,0.25,0,0.05,2.05,NA,NA,NA,NA,NA,NA
Yoshi's Cookie,GB,1992,Puzzle,Nintendo,0.59,0.24,0.82,0.03,1.68,NA,NA,NA,NA,NA,NA
Street Fighter II': Special Champion Edition,GEN,1992,Fighting,Sega,1,0.3,0.31,0.04,1.66,NA,NA,NA,NA,NA,NA
Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24,NA,NA,NA,NA,NA,NA
The Magical Quest starring Mickey Mouse,SNES,1992,Platform,Capcom,0.66,0.17,0.35,0.03,1.21,NA,NA,NA,NA,NA,NA
Yoshi's Cookie,NES,1992,Puzzle,Nintendo,0.41,0.06,0.63,0.02,1.12,NA,NA,NA,NA,NA,NA
Romancing SaGa,SNES,1992,Role-Playing,SquareSoft,0,0,0.97,0,0.97,NA,NA,NA,NA,NA,NA
Mega Man 5,NES,1992,Platform,Capcom,0.39,0.07,0.32,0.01,0.79,NA,NA,NA,NA,NA,NA
The 7th Guest,PC,1992,Adventure,Virgin Interactive,0.02,0.77,0,0,0.78,NA,NA,NA,NA,Trilobyte,T
Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,Namco Bandai Games,0,0,0.58,0,0.58,NA,NA,NA,NA,NA,NA
Super Bomberman,SNES,1992,Puzzle,Hudson Soft,0,0,0.57,0,0.57,NA,NA,NA,NA,NA,NA
Super Batter Up,SNES,1992,Sports,Namco Bandai Games,0,0,0.46,0,0.46,NA,NA,NA,NA,NA,NA
Fatal Fury,SNES,1992,Fighting,Takara,0,0,0.39,0,0.39,NA,NA,NA,NA,NA,NA
Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,Strategy,Tecmo Koei,0,0,0.29,0,0.29,NA,NA,NA,NA,NA,NA
F1 ROC: Race of Champions,SNES,1992,Sports,Ocean,0,0,0.28,0,0.28,NA,NA,NA,NA,NA,NA
F-1 Grand Prix,SNES,1992,Racing,Video System,0,0,0.28,0,0.28,NA,NA,NA,NA,NA,NA
Tetris 2 (weekly jp sales),GB,1992,Puzzle,Nintendo,0,0,0.23,0,0.23,NA,NA,NA,NA,NA,NA
Super Adventure Island,SNES,1992,Platform,Hudson Soft,0,0,0.22,0,0.22,NA,NA,NA,NA,NA,NA
Otogirisou,SNES,1992,Adventure,ChunSoft,0,0,0.16,0,0.16,NA,NA,NA,NA,NA,NA
Battle Soccer: Field no Hasha,SNES,1992,Sports,Banpresto,0,0,0.16,0,0.16,NA,NA,NA,NA,NA,NA
Contra III: The Alien Wars,SNES,1992,Shooter,Konami Digital Entertainment,0,0,0.13,0,0.13,NA,NA,NA,NA,NA,NA
Gunstar Heroes,GEN,1992,Shooter,Sega,0,0,0.13,0,0.13,NA,NA,NA,NA,NA,NA
Ecco the Dolphin,GEN,1992,Adventure,Sega,0,0,0.12,0,0.12,NA,NA,NA,NA,NA,NA
Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992,Fighting,Konami Digital Entertainment,0.04,0.01,0.02,0,0.07,NA,NA,NA,NA,NA,NA
Dragon Slayer: The Legend of Heroes,SNES,1992,Role-Playing,Epoch,0,0,0.07,0,0.07,NA,NA,NA,NA,NA,NA
Syndicate,PC,1992,Strategy,Electronic Arts,0,0.05,0,0.01,0.06,NA,NA,NA,NA,NA,NA
