Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76,51,8,322,Nintendo,E
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,Nintendo,E
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,Nintendo,E
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,NA,NA,NA,NA,NA,NA
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95,73,9,1658,Nintendo,T
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94,88,8.3,2295,Epic Games,M
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,92,64,7.6,972,Square Enix,T
Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67,35,7.2,21,Taito Corporation,E
Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12,92,69,8.5,112,Harmonix Music Systems,T
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86,50,8,150,Rockstar Leeds,M
Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84,29,8.2,39,EA Sports,E
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,86,19,8.9,33,Konami,E
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38,94,90,8.7,1109,Bethesda Softworks,M
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,86,70,8.1,715,Insomniac Games,M
Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.45,1.01,0,0.75,4.21,85,59,8.7,109,Ready at Dawn,E10+
FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11,NA,NA,NA,NA,NA,NA
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1.53,1.6,0.06,0.67,3.87,84,9,7.4,220,Evolution Studios,T
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54,78,49,7.8,112,Rockstar Leeds,M
Clubhouse Games,DS,2006,Misc,Nintendo,0.59,1.79,0.73,0.34,3.45,83,30,8.4,28,Agenda,E
English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo,0,0.99,2.32,0.02,3.33,NA,NA,NA,NA,NA,NA
Personal Trainer: Cooking,DS,2006,Misc,Nintendo,0.9,1,1.03,0.17,3.11,81,12,7.8,10,Indies Zero,E
WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.86,1.04,0.73,0.26,2.89,83,61,7.4,179,Intelligent Systems,E10+
Yoshi's Island DS,DS,2006,Platform,Nintendo,1.45,0.07,1.1,0.15,2.76,81,42,7.4,67,Artoon,E
Call of Duty 3,X360,2006,Shooter,Activision,1.49,0.92,0.02,0.27,2.7,82,71,6.5,233,Treyarch,T
LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,LucasArts,1.85,0.64,0.01,0.19,2.69,84,32,9,41,Traveller's Tales,E10+
Hannah Montana,DS,2006,Action,Disney Interactive Studios,1.59,0.8,0,0.26,2.65,NA,NA,6.7,10,DC Studios,E
Medal of Honor Heroes,PSP,2006,Shooter,Electronic Arts,0.86,1.11,0.01,0.66,2.65,71,24,7.9,47,Team Fusion,T
Pac-Man: Adventures in Time,PSP,2006,Fighting,Sony Computer Entertainment,0.76,1.09,0.12,0.64,2.62,NA,NA,NA,NA,NA,NA
WWE SmackDown vs. RAW 2007,PS2,2006,Fighting,THQ,1.4,0.88,0.03,0.26,2.58,80,27,8.6,57,Yuke's,T
Marvel: Ultimate Alliance,X360,2006,Role-Playing,Activision,2.29,0.02,0,0.19,2.5,82,68,7.5,120,Raven Software,T
Need for Speed Carbon: Own the City,PSP,2006,Racing,Electronic Arts,0.87,0.97,0,0.58,2.42,73,14,7.9,39,EA Canada,E10+
Super Monkey Ball: Banana Blitz,Wii,2006,Misc,Sega,1.05,0.91,0.04,0.24,2.24,74,53,5.7,72,Sega,E
Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006,Action,Capcom,1.06,0.82,0.05,0.28,2.21,NA,NA,NA,NA,NA,NA
Saints Row,X360,2006,Action,THQ,1.17,0.77,0.02,0.22,2.18,81,74,7.5,211,Volition Inc.,M
Pokemon Ranger,DS,2006,Role-Playing,Nintendo,1.28,0.03,0.73,0.12,2.15,69,21,7.6,50,HAL Labs,E
Tetris DS,DS,2006,Puzzle,Nintendo,0.63,0.05,1.35,0.08,2.1,84,56,8.7,44,Nintendo,E
Dead Rising,X360,2006,Action,Capcom,1.16,0.64,0.08,0.2,2.08,85,82,7.6,520,Capcom,M
Final Fantasy III,DS,2006,Role-Playing,Square Enix,0.89,0.04,1.07,0.09,2.08,77,45,7.1,136,Matrix Software,E10+
The Sims 2: Pets,DS,2006,Simulation,Electronic Arts,0.92,0.93,0,0.22,2.07,49,5,5.2,24,Full Fat,E
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,Sony Computer Entertainment,1.74,0.02,0,0.28,2.04,72,38,9,34,Zipper Interactive,T
Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.95,88,69,8.3,225,Ubisoft Montreal,M
Kirby Squeak Squad,DS,2006,Platform,Nintendo,0.78,0.02,1.05,0.08,1.94,71,29,8.1,41,"Flagship, HAL Labs",E
Madden NFL 07,X360,2006,Sports,Electronic Arts,1.66,0,0.01,0.13,1.8,80,54,6,148,EA Tiburon,E
Dragon Quest Monsters: Joker,DS,2006,Role-Playing,Square Enix,0.23,0.02,1.49,0.02,1.76,75,30,7.4,27,TOSE,E10+
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006,Misc,Nintendo,0,0,1.71,0,1.71,NA,NA,NA,NA,NA,NA
NCAA Football 07,PS2,2006,Sports,Electronic Arts,1.41,0.05,0,0.23,1.7,87,18,8.6,23,EA Sports,E
World Championship Poker: Featuring Howard Lederer - All In,PS2,2006,Misc,Oxygen Interactive,0.82,0.64,0,0.22,1.68,NA,NA,NA,NA,NA,NA
Fight Night Round 3,PS3,2006,Fighting,Electronic Arts,0.81,0.58,0.01,0.26,1.67,83,37,7.9,24,EA Chicago,T
Need for Speed Carbon,X360,2006,Racing,Electronic Arts,0.76,0.69,0.02,0.18,1.65,77,52,6.3,82,EA Canada,E10+
Viva Pinata,X360,2006,Simulation,Microsoft Game Studios,0.45,0.95,0.02,0.2,1.62,84,65,8,131,Rare Ltd.,E
Mario Hoops 3 on 3,DS,2006,Sports,Nintendo,0.98,0.04,0.49,0.09,1.6,69,40,8,37,Square Enix,E
The Legend of Zelda: Twilight Princess,GC,2006,Action,Nintendo,1.15,0.36,0.04,0.04,1.59,96,16,9.2,568,Nintendo,T
Pokemon Battle Revolution,Wii,2006,Role-Playing,Nintendo,0.78,0.37,0.3,0.13,1.58,53,34,6.7,106,Genius Sonority Inc.,E
Fight Night Round 3,PS2,2006,Fighting,Electronic Arts,1.07,0.4,0,0.1,1.56,84,32,8.1,41,EA Chicago,T
Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,Shooter,Ubisoft,1.4,0.02,0.02,0.1,1.54,90,78,8,215,Ubisoft Paris,T
Call of Duty 3,PS3,2006,Shooter,Activision,0.6,0.62,0.03,0.26,1.5,80,43,6.9,92,Treyarch,T
Buzz! The BIG Quiz,PS2,2006,Misc,Sony Computer Entertainment,0,1.1,0,0.39,1.49,NA,NA,NA,NA,NA,NA
Dirge of Cerberus: Final Fantasy VII,PS2,2006,Shooter,Square Enix,0.47,0.37,0.52,0.12,1.48,57,51,6.9,103,Square Enix,T
Bratz: Forever Diamondz,DS,2006,Adventure,THQ,0.43,0.88,0,0.18,1.48,NA,NA,6.5,4,Barking Lizards,E
Fight Night Round 3,X360,2006,Fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.47,86,67,8.8,264,EA Chicago,T
SNK vs. Capcom: The Match of the Millennium,PSP,2006,Fighting,Sega,0.53,0.57,0,0.34,1.43,NA,NA,NA,NA,NA,NA
Sonic Rivals,PSP,2006,Racing,Sega,0.73,0.42,0,0.27,1.42,64,25,7.8,38,Backbone Entertainment,E
Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft,1.22,0.06,0.02,0.11,1.42,76,54,7.9,116,Ubisoft Montpellier,E
LEGO Star Wars II: The Original Trilogy,PSP,2006,Action,LucasArts,0.58,0.5,0,0.32,1.4,83,11,8.6,26,Traveller's Tales,E10+
Ridge Racer 7,PS3,2006,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26,1.36,78,45,7.1,52,Namco Bandai Games,E
Need for Speed Carbon,PS2,2006,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34,74,26,8.4,60,EA Canada,E10+
Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1.09,0.04,0.1,0.1,1.34,79,76,7.1,187,Capcom,T
NBA Live 07,PS2,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,63,12,6,39,EA Sports,E
Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,0.45,0.66,0.02,0.15,1.28,67,21,7.3,26,EA Canada,E10+
Black,PS2,2006,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25,79,62,8.4,194,Criterion Games,M
Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,0.49,0.5,0.03,0.2,1.23,75,31,7.3,42,EA Canada,E10+
Parfait: Chocolat Second Style,PS2,2006,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22,NA,NA,NA,NA,NA,NA
Cars,PS2,2006,Racing,THQ,1.01,0.04,0,0.16,1.21,71,30,8.4,12,Rainbow Studios,E
FIFA Soccer 07,PSP,2006,Sports,Electronic Arts,0.25,0.64,0,0.31,1.2,NA,NA,NA,NA,NA,NA
Cars,PSP,2006,Racing,THQ,0.72,0.28,0,0.2,1.2,70,17,7,4,Locomotive Games,E
Scarface: The World is Yours,PS2,2006,Action,Vivendi Games,0.99,0.04,0,0.16,1.19,75,46,8.6,113,Radical Entertainment,M
Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo,0.73,0.03,0.36,0.07,1.19,76,32,7.9,17,"Nintendo, Nintendo Software Technology",E
Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.08,1.18,87,54,8.2,147,Kojima Productions,M
Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,0.97,0.04,0,0.16,1.16,85,19,8.9,53,Rockstar San Diego,E10+
Sonic the Hedgehog,PS3,2006,Platform,Sega,0.41,0.06,0.04,0.66,1.16,43,17,4.1,176,Sonic Team,E10+
Cars,GBA,2006,Racing,THQ,0.81,0.3,0,0.02,1.13,50,8,4.7,6,Helixe,E
SingStar Legends,PS2,2006,Misc,Sony Computer Entertainment,0.12,0.75,0,0.23,1.1,76,25,NA,NA,SCEE London Studio,T
SingStar Rocks!,PS2,2006,Misc,Sony Computer Entertainment,0,0.84,0,0.25,1.1,NA,NA,NA,NA,NA,NA
Yakuza 2,PS2,2006,Adventure,Sega,0.05,0.04,0.84,0.16,1.09,77,34,8.1,52,Amusement Vision,M
The Godfather,PS2,2006,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,75,56,8.3,99,Electronic Arts,M
LEGO Star Wars II: The Original Trilogy,DS,2006,Action,LucasArts,0.96,0.03,0,0.08,1.07,47,9,5,38,Amaze Entertainment,E
Call of Duty 3,PS2,2006,Shooter,Activision,0.89,0.03,0,0.15,1.07,82,14,7.4,83,Treyarch,T
Mortal Kombat: Armageddon,PS2,2006,Fighting,Midway Games,0.88,0.04,0,0.14,1.06,75,43,8.5,84,Midway,M
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,Shooter,Sony Computer Entertainment,0.81,0.11,0,0.13,1.05,81,31,9,36,Zipper Interactive,T
