Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,NA,NA,NA,NA,NA,NA
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,EA Sports,E
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,NA,NA,NA,NA,NA,NA
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,NA,NA,NA,NA,NA,NA
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87,58,6.5,4228,Bethesda Game Studios,M
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86,78,8.1,1264,Bluepoint Games,T
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84,101,6.4,2438,343 Industries,T
Splatoon,WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81,88,8.5,1184,Nintendo,E10+
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88,39,6.2,1749,Bethesda Game Studios,M
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92,79,9.2,10179,CD Projekt Red Studio,M
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87,89,7.6,2679,Rocksteady Studios,M
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88,87,51,6.7,364,Visual Concepts,E10+
Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,2.04,1.28,0.02,0.32,3.66,NA,NA,NA,NA,NA,NA
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,93,86,8.2,3943,"Kojima Productions, Moby Dick Studio",M
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76,86,6.8,1319,Ubisoft Quebec,M
Monster Hunter X,3DS,2015,Action,Capcom,0.27,0.21,2.79,0.05,3.32,NA,NA,NA,NA,NA,NA
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,2.61,0.33,0,0.34,3.28,82,74,7.5,563,"Splash Damage, The Coalition",M
FIFA 16,XOne,2015,Sports,Electronic Arts,0.89,2.12,0,0.24,3.25,84,45,4.4,459,EA Sports,E
Madden NFL 16,PS4,2015,Sports,Electronic Arts,2.34,0.3,0,0.6,3.24,83,37,5.9,180,EA Sports,E
Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.89,0.94,0.2,3.21,88,85,8.7,691,Nintendo,E
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.51,1.02,1.4,0.12,3.05,66,60,6.9,106,Nintendo,E
Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1.5,0.8,0,0.48,2.78,83,81,7.7,836,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M
FIFA 16,PS3,2015,Sports,Electronic Arts,0.41,1.84,0.05,0.4,2.71,NA,NA,3.2,58,EA Sports,E
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48,92,100,8.6,6383,From Software,M
Need for Speed (2015),PS4,2015,Racing,Electronic Arts,0.5,1.5,0.05,0.37,2.43,NA,NA,NA,NA,NA,NA
Madden NFL 16,XOne,2015,Sports,Electronic Arts,2.08,0.08,0,0.26,2.42,84,23,6.1,124,EA Sports,E
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.15,0.55,0.47,0.17,2.34,89,82,9,478,GREZZO,E10+
NBA 2K16,XOne,2015,Sports,Take-Two Interactive,1.95,0.15,0,0.24,2.34,86,14,6.2,115,Visual Concepts,E10+
Yokai Watch Busters,3DS,2015,Action,Level 5,0,0,2.29,0,2.29,NA,NA,NA,NA,NA,NA
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,0.55,1.19,0.14,0.33,2.21,73,40,7.3,480,Ubisoft Montreal,M
Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.71,0.94,0.14,0.32,2.1,73,46,5,845,Visceral Games,M
Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.96,0.67,0.12,0.34,2.09,74,58,7.9,1287,Techland,M
Destiny: The Taken King,PS4,2015,Shooter,Activision,0.78,0.79,0.04,0.31,1.93,86,81,6,1079,Bungie,T
